100      50      55      1,483
100      50      60      1,483
100      50      65      1,483
100      50      70      1,483
100      50      75      1,483
100      50      80      1,483
100      50      85      1,483
100      50      90      1,483
100      50      95      1,483
100      50      100      1,431
100      100      0      2,367
100      100      5      0,166
100      100      10      0,058
100      100      15      0,052
100      100      20      0,05
100      100      25      0,049
100      100      30      0,048
100      100      35      0,048
100      100      40      0,048
100      100      45      0,048
100      100      50      0,048
100      100      55      0,048
100      100      60      0,048
100      100      65      0,048
100      100      70      0,048
100      100      75      0,048
100      100      80      0,048
100      100      85      0,048
100      100      90      0,048
100      100      95      0,048
100      100      100      0,0
